Country/Territory,Status,PR Rating,CL Rating,A Aggr,B Aggr,C Aggr,Add A,Add B,PR Aggr,D Aggr,E Aggr,F Aggr,G Aggr,CL Aggr,Total Aggr
Guinea-Bissau,PF,4,4,9,9,4,0,0,22,11,8,8,6,33,55
Guyana,F,2,3,11,13,7,0,0,31,15,10,8,9,42,73
Haiti,PF,4,5,7,10,3,0,0,20,10,5,2,5,22,42
Honduras,PF,3,3,9,10,6,0,0,25,13,8,7,9,37,62
Hong Kong*,PF,5,2,3,7,6,0,0,16,14,10,14,13,51,67
Hungary,F,1,1,12,15,10,0,0,37,16,12,13,14,55,92
Iceland,F,1,1,12,16,12,0,0,40,16,12,16,16,60,100
India,F,2,3,11,14,9,0,0,34,13,10,9,10,42,76
Indian Kashmir*,PF,5,5,6,6,3,0,0,15,8,6,3,8,25,40
Indonesia,F,2,3,11,13,6,0,0,30,10,9,7,9,35,65
Iran,NF,6,6,3,4,3,0,0,10,4,2,3,4,13,23
Iraq,NF,6,6,7,6,1,0,3,11,4,3,0,4,11,22
Ireland,F,1,1,12,16,11,0,0,39,16,12,15,15,58,97
Israel,F,1,2,12,15,10,0,0,37,14,12,10,11,47,84
Israeli Occupied Territories*,NF,6,5,3,3,3,0,1,8,6,5,1,5,17,25
Italy,F,1,1,12,15,11,0,0,38,15,12,12,15,54,92
Jamaica,F,2,3,10,13,8,0,0,31,15,9,8,11,43,74
Japan,F,1,2,12,15,10,0,0,37,13,10,15,13,51,88
Jordan,PF,5,4,3,6,5,0,0,14,9,5,6,8,28,42
Kazakhstan,NF,6,5,3,4,3,0,0,10,7,4,4,7,22,32
Kenya,PF,3,3,9,11,5,0,0,25,14,9,8,8,39,64
Kiribati,F,1,1,12,16,8,0,0,36,15,12,15,13,55,91
Kosovo*,PF,6,5,6,5,3,0,3,11,7,6,4,7,18,
Kuwait,PF,4,4,4,9,6,0,0,19,9,6,7,5,27,46
Kyrgyzstan,PF,5,4,5,7,4,0,0,16,10,8,5,7,30,46
Laos,NF,7,6,0,1,0,0,0,1,4,1,2,5,12,13
Latvia,F,1,1,12,15,9,0,0,36,16,12,12,13,53,89
Lebanon,PF,5,4,4,8,5,0,0,17,12,8,5,9,34,51
Lesotho,F,2,3,9,12,9,0,0,30,15,8,11,9,43,73
Liberia,PF,3,4,9,10,5,0,0,24,11,7,7,8,33,57
Libya,NF,7,7,0,1,0,0,0,1,1,0,0,6,7,8
Liechtenstein,F,1,1,12,16,12,0,0,40,16,12,16,16,60,100
Lithuania,F,1,1,12,15,9,0,0,36,16,11,14,13,54,90
Luxembourg,F,1,1,12,16,12,0,0,40,16,12,16,16,60,100
Macedonia,PF,3,3,7,10,7,0,0,24,11,7,8,10,36,60
Madagascar,PF,4,3,7,9,7,0,0,23,10,8,9,9,36,59
Malawi,PF,4,3,7,10,6,0,0,23,11,8,9,7,35,58
Malaysia,PF,4,4,6,7,6,0,0,19,8,6,6,9,29,48
Maldives,NF,6,5,3,4,4,0,0,11,6,3,7,7,23,34
Mali,F,2,2,9,12,9,0,0,30,16,9,10,9,44,74
Malta,F,1,1,12,16,11,0,0,39,16,12,16,15,59,98
Marshall Islands,F,1,1,12,15,10,0,0,37,16,11,15,13,55,92
Mauritania,PF,5,4,6,7,4,0,0,17,10,8,6,5,29,46
Mauritius,F,1,2,11,15,11,0,0,37,15,12,13,12,52,89
Mexico,F,2,3,10,14,9,0,0,33,14,10,8,11,43,76
Micronesia,F,1,1,12,15,10,0,0,37,16,11,15,14,56,93
Moldova,PF,3,4,9,8,7,0,0,24,10,6,8,9,33,57
Monaco,F,2,1,10,11,10,0,0,31,15,12,15,14,56,87
Mongolia,F,2,2,8,15,10,0,0,33,15,10,12,12,49,82
Montenegro,PF,3,3,9,9,6,0,0,24,12,10,8,11,41,65
Morocco,PF,5,4,4,7,6,0,0,17,8,6,6,8,28,45
Mozambique,PF,3,4,7,11,7,0,0,25,11,7,7,8,33,58
Myanmar,NF,7,7,0,1,0,0,3,-2,2,0,0,4,6,4
Nagorno-Karabakh*,PF,5,5,6,5,3,0,0,14,8,4,4,5,21,35
Namibia,F,2,2,10,12,9,0,0,31,15,12,10,9,46,77
Nauru,F,1,1,12,16,10,0,0,38,15,11,15,14,55,93
Nepal,PF,5,4,4,9,4,0,0,17,9,6,6,7,28,45
Netherlands,F,1,1,12,16,12,0,0,40,16,12,15,16,59,99
New Zealand,F,1,1,12,15,12,0,0,39,16,11,15,15,57,96
Nicaragua,PF,3,3,11,12,5,0,0,28,14,8,7,10,39,67
Niger,PF,3,3,11,10,8,0,0,29,11,9,9,6,35,64
Nigeria,PF,4,4,6,9,6,0,0,21,11,7,5,7,30,51
North Korea,NF,7,7,0,0,0,0,0,0,0,0,0,1,1,1
Northern Cyprus*,F,2,2,11,14,9,0,0,34,13,9,12,12,46,80
Norway,F,1,1,12,16,12,0,0,40,16,12,16,16,60,100
Oman,NF,6,5,2,2,2,4,0,10,6,3,4,5,18,28
Pakistan,NF,6,5,2,6,3,0,0,11,8,6,4,6,24,35
Pakistani Kashmir*,NF,7,5,2,3,2,0,2,5,6,4,4,6,20,25
Palau,F,1,1,12,15,10,0,0,37,16,11,15,13,55,92
Palestinian Authority Administered Territories*,PF,4,6,6,9,3,0,0,18,5,5,1,5,16,34
Panama,F,1,2,12,15,9,0,0,36,15,11,9,12,47,83
Papua New Guinea,PF,3,3,9,11,6,0,0,26,12,9,7,8,36,62
Paraguay,PF,3,3,11,11,4,0,0,26,12,8,7,10,37,63
Peru,F,2,3,11,14,7,0,0,32,15,9,8,9,41,73
Philippines,PF,3,3,7,13,8,0,0,28,14,9,8,10,41,69
Poland,F,1,1,12,16,10,0,0,38,15,11,13,14,53,91
Portugal,F,1,1,12,16,12,0,0,40,16,12,15,14,57,97
Puerto Rico,F,1,1,12,15,10,0,0,37,16,11,14,14,55,92
Qatar,NF,6,5,2,1,3,3,0,9,8,2,4,4,18,27
Romania,F,2,2,11,14,7,0,0,32,14,11,12,12,49,81
Russia,NF,6,5,3,5,3,0,0,11,8,4,4,7,23,34
Rwanda,NF,6,5,3,3,4,0,0,10,7,3,6,7,23,33
Samoa,F,2,2,9,13,10,0,0,32,14,10,13,12,49,81
San Marino,F,1,1,12,16,12,0,0,40,16,12,16,16,60,100
Sao Tome and Principe,F,2,2,11,14,8,0,0,33,15,10,12,10,47,80
Saudi Arabia,NF,7,6,0,0,1,3,0,4,4,0,3,2,9,13
Senegal,F,2,3,11,13,9,0,0,33,15,10,9,9,43,76
Serbia,F,3,2,9,13,7,0,0,29,14,11,9,13,47,76
Seychelles,PF,3,3,8,10,7,0,0,25,10,9,11,11,41,66
Sierra Leone,PF,4,3,9,10,4,0,0,23,12,8,8,9,37,60
Singapore,PF,5,4,4,6,7,0,0,17,9,3,8,12,32,49
Slovakia,F,1,1,12,15,10,0,0,37,16,12,12,14,54,91
Slovenia,F,1,1,12,15,11,0,0,38,15,12,14,12,53,91
Solomon Islands,PF,4,3,6,10,7,0,0,23,13,9,8,12,42,65
Somalia,NF,7,7,0,0,1,0,0,1,3,0,0,0,3,4
South Africa,F,2,2,12,14,9,0,0,35,15,12,12,12,51,86
South Korea,F,1,2,11,15,10,0,0,36,14,12,13,12,51,87
Spain,F,1,1,12,15,12,0,0,39,16,12,14,15,57,96
Sri Lanka,PF,4,4,8,8,7,0,0,23,8,9,6,10,33,56
St. Kitts and Nevis,F,1,1,12,16,10,0,0,38,15,12,12,14,53,91
St. Lucia,F,1,1,12,16,10,0,0,38,15,12,12,14,53,91
St. Vincent and the Grenadines,F,2,1,11,15,8,0,0,34,15,11,13,14,53,87
Sudan,NF,7,7,0,4,3,0,4,3,4,3,0,0,7,10
Suriname,F,2,2,12,13,7,0,0,32,15,11,9,10,45,77
Swaziland,NF,7,5,0,1,1,1,0,3,8,3,4,5,20,23
Sweden,F,1,1,12,16,12,0,0,40,16,12,16,16,60,100
Switzerland,F,1,1,12,16,12,0,0,40,16,12,15,16,59,99
Syria,NF,7,6,0,0,1,0,0,1,2,0,1,5,8,9
Taiwan,F,2,1,10,15,9,0,0,34,16,11,15,13,55,89
Tajikistan,NF,6,5,2,4,3,0,1,8,6,4,4,6,20,28
Tanzania,PF,4,3,6,10,6,0,0,22,11,7,10,8,36,58
Thailand,NF,7,4,0,1,3,0,0,4,10,5,6,11,32,36
The Gambia,PF,5,4,6,7,4,0,0,17,10,6,7,8,31,48
Tibet*,NF,7,7,0,0,1,0,3,-2,0,0,0,5,5,3
Timor-Leste,PF,3,4,11,10,5,0,0,26,11,7,6,9,33,59
Togo,NF,6,5,2,4,2,0,0,8,7,5,3,6,21,29
Tonga,PF,5,3,3,9,3,0,0,15,12,5,11,12,40,55
Transnistria*,NF,6,6,2,4,1,0,0,7,6,2,2,5,15,22
Trinidad and Tobago,F,2,2,9,13,9,0,0,31,15,11,10,13,49,80
Tunisia,NF,6,5,1,3,2,0,0,6,4,2,4,8,18,24
Turkey,PF,3,3,9,12,7,0,0,28,12,7,8,10,37,65
Turkmenistan,NF,7,7,0,0,0,0,0,0,1,0,0,0,1,1
Tuvalu,F,1,1,12,15,10,0,0,37,16,12,15,14,57,94
Uganda,PF,5,4,4,7,4,0,0,15,11,6,7,7,31,46
Ukraine,F,3,2,9,13,6,0,0,28,13,10,11,11,45,73
United Arab Emirates,NF,6,5,1,1,2,4,0,8,6,3,4,4,17,25
United Kingdom,F,1,1,12,16,12,0,0,40,16,12,15,15,58,98
United States,F,1,1,11,16,11,0,0,38,16,10,14,15,55,93
Uruguay,F,1,1,12,16,11,0,0,39,16,12,15,15,58,97
Uzbekistan,NF,7,7,0,0,0,0,0,0,1,0,0,2,3,3
Vanuatu,F,2,2,9,15,8,0,0,32,16,11,10,11,48,80
Venezuela,PF,4,4,8,8,4,0,0,20,11,7,5,8,31,51
Vietnam,NF,7,5,0,1,1,0,0,2,5,2,4,8,19,21
Western Sahara*,NF,7,6,0,0,0,0,2,-2,3,2,0,5,10,8
Yemen,PF,5,5,4,7,3,0,0,14,7,3,4,5,19,33
Zambia,PF,3,4,8,11,6,0,0,25,11,8,8,7,34,59
Zimbabwe,NF,7,6,1,3,0,0,0,4,5,2,1,1,9,13
